,,,,,,,,,,
Topics/Top10,NaturalDisaster,Epidemics,IranDeal,SocialIssues,LBGT,HumanCausedDisaster,CelebrityDeath,Space,Tennis,Soccer
From,earthquake_wo,changedecopine,mazandara,nsingerdebtpaid,eph4_15,ydumozyf,nmandelaquotes,daily_astrodata,tracktennisnews,losangelessrh
From,earthalerts,drdaveanddee,hhadi119,debtadvisoruk,mgdauber,syriatweeten,boiknox,freesolarleads,tennis_result,shoetale
From,seelites,joinmentornetwk,140iran,debt_protect,stevendickinson,tintin1957,jacanews,houston__jobs,i_roger_federer,sport__agent
From,globalfloodnews,followebola,setarehgan,negativeequityf,lileensvf1,sirajsol,ewnreporter,star_wars_gifts,tennislessonnow,books_you_want
From,gcmcdrought,localnursejobs,akhgarshabaneh,dolphin_ls,truckerbooman,rt3syria,paulretweet,lenautilus,kamranisbest,makeupbella
From,gcmctornado,cancrdaily,jeffandsimon,hotnostrilsrfun,jjauthor,mog7546,nelsonmandela,news_houston_tx,andymurrayfans1,mykicknscream
From,earthquakeau,followingebola,mandgar52ma,iris_messenger,m_e_adams,witfp,ripmandelanelsn,star_wars_party,madtennistweets,birdsontheblog
From,pardeepbogra,janetjmartin1,alimoha87150983,hd_ride,deangwright,rk70534,nyborjaren,environsecnews,tennisit1,topi_jerami
From,sandy_jobs,karinrpaz,petit_lakeisha,molonlabenj,obama_games,eatingmypeaz,jeffrey2011,sciencewatchout,chutennis,ridwanhanif
From,quincyunomegas,childhltdaily,sedayesarkobsho,deray,nrnpac,neda30,dashawntaylor,jobinhouston1,novakdjokovic_i,sportsroadhouse
,,,,,,,,,,
Hashtag,earthquake,health,iran,ferguson,tcot,syria,rip,science,wimbledon,lfc
Hashtag,haiyan,uniteblue,irantalks,mikebrown,p2,gaza,riprobinwilliams,starwars,usopen,worldcup
Hashtag,storm,ebola,rouhani,ericgarner,pjnet,isis,ripcorymonteith,houston,tennis,arsenal
Hashtag,tornado,healthcare,iranian,blacklivesmatter,uniteblue,israel,mandela,sun,nadal,worldcup2014
Hashtag,prayforthephilippines,depression,no2rouhani,fergusondecision,teaparty,mh370,nelsonmandela,sxsw,wimbledon2014,halamadrid
Hashtag,ukstorm,fitness,irantalksvienna,icantbreathe,2a,gazaunderattack,robinwilliams,solar,djokovic,sports
Hashtag,sandy,hiv,nonucleariran,abortion,ccot,mh17,ripnelsonmandela,iss,frenchopen,women
Hashtag,flood,cdc,humanrights,racism,equality,palestine,rippaulwalker,scifi,federer,nufc
Hashtag,drought,p2,campliberty,michaelbrown,marriageequality,freepalestine,madiba,stem,australianopen,mcfc
Hashtag,hurricane,crisis,maryamrajavi,antoniomartin,tlot,is,riptalia,astrology,murray,football
,,,,,,,,,,
Location,philippines,usa,tehran,st.louis,usa,malaysia,southafrica,germany,london,liverpool
Location,ca,ncusa,u.s.a,mo,bordentown,palestine,johannesburg,roodepoort,uk,manchester
Location,india,garlandtx,nederland,usa,newjersey,syria,capetown,houston,india,london
Location,newdelhi,oh-sandiego,iran,dc,sweethomealabama!,israel,pretoria,austin,pakistan,nigeria
Location,newzealand,washington,globalcitizen,washington,aurora,london,durban,tx,islamabad,india
Location,manila,dc,france,missouri,tennessee,pakistan,nairobi,virtualworld,mumbai,uk
Location,wellington,smyrna,washington,brooklyn,co,kualalumpur,canada,sanfransisco,themidlands,anfield
Location,sanfrancisco,newyork,londan,ny,nevada,gaza,kenya,ca,bangalore,newcastleupontyne
Location,losangeles,chicago,london,saintlouis,unitedstatesofamerica,nigeria,gauteng,usa,england,lagos
Location,uk,southernnewjersey,u.k,ca,sweethomealabama,washington,indonesia,oh-sandiego,melbourne,newcastle
,,,,,,,,,,
Mention,oxfamgb,foxtramedia,4freedominiran,deray,jjauthor,ifalasteen,nelsonmandela,bizarro_chile,wimbledon,lfc
Mention,weatherchannel,obi_obadike,iran_policy,natedrug,2anow,revolutionsyria,realpaulwalker,nasa,usopen,arsenal
Mention,redcross,who,hassanrouhani,antoniofrench,govchristie,drbasselabuward,robinwilliams,j_ksen,andy_murray,realmadriden
Mention,twcbreaking,obadike1,un,bipartisanism,a5h0ka,mogaza,rememberrobin,jaredleto,serenawilliams,ussoccer
Mention,abc7,c25kfree,statedept,theanonmessage,barackobama,palestinianism,tweetlikegiris,30secondstomars,espntennis,mcfc
Mention,reedtimmertvn,cdcgov,afp,govchristie,gop,unicef,ewnreporter,philae2014,rogerfederer,realmadrid
Mention,savethechildren,sandrabeck,peymaneh123,youranonnews,alicia_lupercio,free_media_hub,bet,tokiohotel,australianopen,fifaworldcup
